set;clf_name;selector_name;n_features;accuracy
sets;logit;rfe;132;0.7560975609756098
sets;logit;rfe;131;0.7560975609756098
sets;logit;rfe;130;0.7560975609756098
sets;logit;rfe;129;0.7560975609756098
sets;logit;rfe;128;0.7560975609756098
sets;logit;rfe;127;0.7560975609756098
sets;logit;rfe;126;0.7560975609756098
sets;logit;rfe;125;0.7560975609756098
sets;logit;rfe;124;0.7560975609756098
sets;logit;rfe;123;0.7560975609756098
sets;logit;rfe;122;0.7560975609756098
sets;logit;rfe;121;0.7560975609756098
sets;logit;rfe;120;0.7560975609756098
sets;logit;rfe;119;0.7560975609756098
sets;logit;rfe;118;0.7560975609756098
sets;logit;rfe;117;0.7560975609756098
sets;logit;rfe;116;0.7560975609756098
sets;logit;rfe;115;0.7560975609756098
sets;logit;rfe;114;0.7560975609756098
sets;logit;rfe;113;0.7560975609756098
sets;logit;rfe;112;0.7560975609756098
sets;logit;rfe;111;0.7560975609756098
sets;logit;rfe;110;0.7560975609756098
sets;logit;rfe;109;0.7560975609756098
sets;logit;rfe;108;0.7560975609756098
sets;logit;rfe;107;0.7560975609756098
sets;logit;rfe;106;0.7560975609756098
sets;logit;rfe;105;0.7560975609756098
sets;logit;rfe;104;0.7560975609756098
sets;logit;rfe;103;0.7804878048780488
sets;logit;rfe;102;0.7804878048780488
sets;logit;rfe;101;0.7804878048780488
sets;logit;rfe;100;0.7804878048780488
sets;logit;rfe;99;0.7560975609756098
sets;logit;rfe;98;0.7560975609756098
sets;logit;rfe;97;0.7560975609756098
sets;logit;rfe;96;0.7804878048780488
sets;logit;rfe;95;0.7804878048780488
sets;logit;rfe;94;0.7804878048780488
sets;logit;rfe;93;0.7804878048780488
sets;logit;rfe;92;0.7804878048780488
sets;logit;rfe;91;0.8048780487804879
sets;logit;rfe;90;0.7804878048780488
sets;logit;rfe;89;0.7804878048780488
sets;logit;rfe;88;0.8048780487804879
sets;logit;rfe;87;0.7560975609756098
sets;logit;rfe;86;0.7560975609756098
sets;logit;rfe;85;0.7804878048780488
sets;logit;rfe;84;0.7560975609756098
sets;logit;rfe;83;0.7560975609756098
sets;logit;rfe;82;0.7560975609756098
sets;logit;rfe;81;0.7560975609756098
sets;logit;rfe;80;0.7804878048780488
sets;svm;rfe;132;0.8536585365853658
sets;svm;rfe;131;0.8536585365853658
sets;svm;rfe;130;0.8536585365853658
sets;svm;rfe;129;0.8536585365853658
sets;svm;rfe;128;0.8536585365853658
sets;svm;rfe;127;0.8536585365853658
sets;svm;rfe;126;0.8536585365853658
sets;svm;rfe;125;0.8536585365853658
sets;svm;rfe;124;0.8536585365853658
sets;svm;rfe;123;0.8536585365853658
sets;svm;rfe;122;0.8536585365853658
sets;svm;rfe;121;0.8536585365853658
sets;svm;rfe;120;0.8536585365853658
sets;svm;rfe;119;0.8536585365853658
sets;svm;rfe;118;0.8536585365853658
sets;svm;rfe;117;0.8536585365853658
sets;svm;rfe;116;0.8536585365853658
sets;svm;rfe;115;0.8536585365853658
sets;svm;rfe;114;0.8536585365853658
sets;svm;rfe;113;0.8536585365853658
sets;svm;rfe;112;0.8536585365853658
sets;svm;rfe;111;0.8536585365853658
sets;svm;rfe;110;0.8536585365853658
sets;svm;rfe;109;0.8536585365853658
sets;svm;rfe;108;0.8536585365853658
sets;svm;rfe;107;0.8536585365853658
sets;svm;rfe;106;0.8536585365853658
sets;svm;rfe;105;0.8536585365853658
sets;svm;rfe;104;0.8536585365853658
sets;svm;rfe;103;0.8536585365853658
sets;svm;rfe;102;0.8536585365853658
sets;svm;rfe;101;0.8536585365853658
sets;svm;rfe;100;0.8536585365853658
sets;svm;rfe;99;0.8536585365853658
sets;svm;rfe;98;0.8536585365853658
sets;svm;rfe;97;0.8536585365853658
sets;svm;rfe;96;0.8536585365853658
sets;svm;rfe;95;0.8536585365853658
sets;svm;rfe;94;0.8536585365853658
sets;svm;rfe;93;0.8536585365853658
sets;svm;rfe;92;0.8536585365853658
sets;svm;rfe;91;0.8536585365853658
sets;svm;rfe;90;0.8536585365853658
